Population by GN division and age|||||||||Census of Population and Housing 2012|||||||||||||
|GN|||||||||||Age group||||||||||
Sahabandu KokmaduwaJamburegoda East|375B377|889472|8239|6634|6942|6132|5826|6129|5641|7024|5423|5128|6126|4328|3926|2623|2414|2818|2811|62|42|24
Padili KokmaduwaBeraleliya|375A375D|1,1331,375|81132|100108|85101|7498|64102|7177|8896|7295|8389|6585|62101|5773|6970|5147|4638|2831|2111|1217|24|20
JayawickramapuraWarakapitiya North|397C399|1,3451,446|116125|135125|12691|125112|9969|108113|107117|101106|8896|9185|6199|5187|4470|4146|2437|1537|1119|18|14|00
Warakapitiya EastWarakapitiya South|399C399B|9291,322|69141|57115|64105|6585|7479|7191|58111|55108|6186|5870|6788|5065|6254|4844|2330|2625|1415|65|11|04
MeeruppaUruvitiya|397B397A|1,4671,231|96103|107111|10984|14879|10694|8595|10698|8587|8163|10266|9462|8768|7162|6161|4743|4527|2510|1011|04|23
WatagedaramullaMoonamalpe|397392|1,8551,314|160107|160125|161107|172102|131103|14192|12687|12379|12261|12477|11388|8684|5968|6140|4130|3934|2112|1114|43|01
WelipitiyaPalalla|396A377A|3,3482,082|418144|425152|333136|266153|242167|230156|245141|219149|197128|177130|159131|131121|111111|8891|4566|3250|1634|714|45|33
Jamburegoda WestIbbawala|377B376|743550|5937|5752|4837|4942|4743|5235|5438|4339|3936|4531|5938|3722|5328|3721|2116|2020|76|126|13|30
VilegodaBorala|376A378A|9571,377|73112|84107|7189|95107|72107|6889|80111|7475|6383|6991|5269|4877|2782|2969|2542|1638|816|25|15|03
MaduragodaKapuwatta|391C396|2,1641,209|225121|233122|202117|231140|15794|15882|15182|14579|11258|12056|10367|9552|7853|6033|5215|2620|1010|23|24|21
Denipitiya CentralDenipitiya West|391B391A|2,4271,696|221149|211140|194119|187141|187142|160124|187110|157107|163116|143117|136105|13492|10176|8846|5134|4735|3424|1512|43|74
Denipitiya EastMalimbada|391|2,87734,856|2602,847|2362,984|2302,637|2382,790|2152,189|2362,312|1992,337|1642,332|1972,277|1772,093|1872,158|1271,973|1331,696|1031,460|62962|45811|38587|20268|797|346
ElgiriyaPahala Kiyaduwa|355A355B|9511,022|7389|8678|5368|7685|6451|7674|5775|5667|6657|5857|6471|6566|4874|3353|2724|2214|169|86|34|00
MaragodaKekunawela|357A357|1,126691|8353|9544|7743|8868|6739|6436|9248|7436|6250|6348|7740|7246|5741|5627|3715|2823|2623|48|21|22
KadduwaDampella|356A356|588876|4279|4459|3060|4685|4054|3554|2850|3141|3664|3862|3867|3359|4249|3534|2019|2218|2010|310|41|11
Horagoda EastHoragoda West|355355C|1,0251,198|93122|80118|63121|7284|6579|9876|6889|5887|5180|5967|8365|7366|5949|3930|2128|2120|118|85|32|02
Horagoda SouthKadukanna|355D353|1,0351,468|75119|91119|73109|80114|5376|5599|7887|80121|7292|5597|6094|5077|5264|4464|4343|3730|2141|914|55|23
WelandagodaUninduwela|356B353B|892758|5259|7566|7855|6555|7945|6362|5053|4234|6750|6451|4338|5055|5025|3634|2219|1821|1919|1512|35|10
ThelijjavilaNape|353A355E|1,878485|15734|17738|18033|17629|10238|10235|11633|13839|12730|11723|11426|7732|6831|7720|5213|3918|358|125|90|30
Akurugoda NorthAkurugoda East|400C400|1,3921,654|109151|129152|118133|105142|80122|89111|102102|106133|8895|6698|8279|7366|5979|4863|3849|4946|3019|1310|64|20
Kirimetimulla SouthKirimetimulla North|351B351A|2,457993|18376|21382|21181|21992|15869|16556|15863|14556|19074|14656|16671|16262|11439|9033|5432|4020|2621|128|11|41
Malimbada WestKatuwangoda|351350A|1,881801|16568|15968|15161|13062|11755|11448|14245|15144|12952|9948|11346|9748|8438|7736|6825|3624|3017|169|35|02
Malimbada EastMalimbada North|402A350|1,5571,546|124130|130132|106109|117124|10091|92106|103108|9596|89110|10291|9993|10175|9365|7485|5047|2834|3426|1412|49|23
Malimbada SouthGalpamuna|402402B|8671,231|69105|70111|6284|67104|5271|6489|5580|7374|5286|4782|6371|5071|4068|2945|2032|2626|2114|59|04|25
Akurugoda SouthAkurugoda West|400B400A|1,770972|16486|16099|14264|13276|11753|11466|14178|15261|10869|10450|11450|7462|7345|6746|4029|3915|2210|47|24|12
Sulthanagoda WestSulthanagoda East|403403B|9861,370|68113|8397|75104|91104|58101|60106|4795|6584|7672|6494|7081|5574|4276|5077|2230|3427|1318|913|22|22
Sulthanagoda SouthKamburupitiya|403A|1,38640,969|1063,355|1293,539|933,231|1023,314|932,862|1032,769|942,832|932,638|832,616|872,523|802,388|822,327|721,965|581,586|431,005|36872|20658|8310|3109|170
Gathara WestGathara North|320B320|932768|8571|7769|6353|7663|5439|7452|4952|5267|7346|4833|6747|5334|4841|4127|2327|1921|2013|68|14|31
Gathara EastBeragammulla|320A323D|1,2751,053|9698|114109|7895|9977|6863|9584|10383|7177|8172|8148|9849|6849|6840|5437|3118|2324|3122|94|62|12
EriyathotaGanegama|323C323A|1,343618|12750|10568|11243|12329|9338|9249|10748|9442|9540|8343|6523|6825|5730|4131|2121|2618|288|36|22|14
Narandeniya EastNarandeniya West|323B323|692631|5050|5658|4544|4133|5829|5441|5351|4036|4043|3938|5338|4342|3431|2535|2320|1918|917|63|43|01
MalanaMagamure|321330B|1,059881|7950|7362|7869|8978|7266|6653|7066|5643|5859|7047|7266|7071|6849|5834|3019|1720|1815|411|83|30
SapugodaLenabatuwa|330A317C|1,5411,182|15592|162116|110100|132102|7878|8762|11768|11595|13587|9380|6756|8350|6549|4756|3227|2838|1619|135|21|41
Bibulewela|317A|863|64|80|59|68|58|56|53|57|59|47|64|45|37|43|30|17|15|6|2|3
GodawaPitakatuwana|318A318|1,3661,009|10073|10890|10865|12591|9264|8168|8163|8265|9878|11657|7774|7976|5546|4227|4620|4024|1815|126|33|34
KamburupitiyaUllala East|330321A|1,6531,856|132147|127180|140163|125150|114129|132137|106131|111121|98109|125125|78116|9790|8277|6385|3930|4135|2719|1110|22|30
ThumbeKaraputugala North|321D324A|833837|8078|8479|6360|5751|5655|5554|7265|5145|5352|5557|5433|3965|3950|2025|2223|1520|911|811|13|00
Karaputugala SouthUllala Masmulla|324321B|8761,194|71112|66116|6492|8583|5476|6495|6982|5283|5569|4756|5365|4870|4560|3447|3237|724|1617|96|30|24
Ullala WestMapalana Mangin Ihala|321C331D|1,3691,272|135106|131111|115132|92108|7282|11284|13195|9377|7875|5582|5874|7770|7964|6044|2727|2120|1710|118|30|23
Mapalana Mangin PahalaSeewelgama|331318B|1,3451,769|67149|79148|81139|70169|430109|125111|61113|59116|66133|52129|4599|52108|4779|3559|3537|1633|1824|58|25|01
Ihala Vitiyala NorthKaragoda Uyangoda 1 Atha East|348A317B|9431,327|85114|68123|77115|69117|5272|5683|65101|5891|5886|5684|5172|6167|4455|4343|3835|3027|1922|811|35|24
Karagoda Uyangoda 1 Atha WestKaragoda Uyangoda 2 West|317316A|1,001855|7662|8774|8853|8562|5756|4273|6545|7154|5555|7356|6049|6251|5358|4938|2521|2023|229|310|53|33
Karagoda Uyangoda 2 EastIhala Vitiyala West|316348C|855724|6956|6164|7160|8152|5633|5239|5059|5347|5626|5638|4858|5835|4041|3436|2226|1422|1618|1411|23|20
Ihala Vitiyala SouthIhala Vitiyala East|348348B|735981|6077|6183|5586|6794|3953|4657|5162|5560|4662|4662|4061|3960|3443|3043|1722|2025|1715|711|43|12
AkurugodaKahagala|331A331B|8701,177|67106|59137|68114|8091|5857|4860|4084|5378|6679|5565|6077|6548|4657|3155|2417|1625|1915|126|23|13
Kahagala SouthUrapola East|331C346A|938661|9154|8647|7651|8149|4957|7345|7545|6438|4631|6539|5651|5448|4534|3225|1213|1313|139|58|03|21
PalolpitiyaUrapola West|346B346|1,057628|7348|7843|10046|11753|6234|6250|7229|7442|7226|7448|7143|6146|4134|3324|2016|2020|1517|87|42|00
HakmanaDenagama East|280|31,6481,035|2,70782|2,75287|2,51292|2,53676|2,33766|2,12857|2,12754|1,96076|1,92367|1,99684|2,04168|1,85757|1,71052|1,07145|71424|56622|37411|2189|836|360
Denagama NorthDenagama West|280C280A|1,083798|9864|9366|8659|9074|8764|8757|8447|6137|7049|7568|6244|5446|5244|3023|1920|1712|914|63|24|13
BadabaddaMeeella|280B281|1,3431,184|123113|103122|10487|99103|10695|7386|9777|7271|8165|6373|10566|8777|7459|6331|2722|3715|1212|98|42|40
Pananwela EastPananwela West|282A282|757526|7740|5734|3944|6937|6435|4836|4831|4525|4737|4137|4332|5733|5138|2122|1219|1511|1113|102|20|00
KohuliyaddaKebiliyapola North|286B284|771387|5828|7126|7231|5430|5816|4631|4415|4714|5723|6243|4825|3423|4322|2614|1316|1913|1110|63|12|12
Wepathaira NorthWepathaira West|283283B|772654|6052|6449|5237|5155|4435|4549|5842|5537|5138|4140|4565|5141|4746|3125|2615|246|159|811|41|01
KandegodaNarawelpita East|293D297E|6161,013|4899|4897|5588|4887|5187|4281|3778|4265|3952|3558|3945|2248|5630|2338|1018|819|514|67|02|20
Narawelpita NorthEllewela East|297A297C|1,416882|14492|14685|12587|13194|12284|9865|11164|9553|8756|7647|6937|4840|5126|4017|2611|2310|169|55|20|10
Ellewela WestNarawelpita South|297B297|1,389903|13499|148102|12375|13864|13550|10262|10363|7861|9267|7848|7846|5735|5543|3234|1527|1016|66|33|21|01
BeruwelaMuruthamuraya|293C293|868669|5535|6660|5243|6746|8255|6150|5949|4720|4836|5947|7439|5751|5563|3036|2115|189|95|58|02|30
Muruthamuraya WestMuruthamuraya East|293B293A|764778|3858|5964|6164|7460|6247|5350|4655|4156|4862|5339|6761|5542|3843|2833|1419|1310|95|46|03|11
Wepathaira SouthKebiliyapola South|283A284A|1,0371,030|7690|7799|8192|7076|7259|7564|9067|6364|7266|7072|6956|7072|6665|3125|1223|2216|1012|88|14|20
GangodagamaPottewela|286286A|922756|8057|8953|8052|7573|5552|5847|5451|7434|5134|5939|5762|6054|5145|2229|1427|1813|1517|611|43|03
LalpeGammedapitiya|294B286C|1,317914|10589|10090|12482|9364|8556|7559|7662|9464|6848|8469|9667|8656|7738|4914|4017|2616|2111|88|83|21
Udupeellegoda EastUdupeellegoda West|294294A|1,0761,190|96102|86103|7777|8186|74116|6992|7791|7078|6757|6574|8466|6081|5955|4544|2225|2418|1113|47|44|11
Kongala EastKongala South|295295C|6391,021|4986|34104|5170|5168|4859|3872|3472|3768|4066|4468|4471|6156|3853|2037|2629|1121|811|46|12|02
Kongala CentralKongala West|295B295A|905955|7480|7384|5377|5966|5348|6450|4655|6753|5559|4974|6868|7357|5758|4338|3031|1730|1312|89|33|03
Narawelpita WestKirinda Puhulwella|297D|1,27820,291|1261,650|1131,625|1201,653|1271,584|1151,321|861,309|901,413|961,237|681,288|621,284|751,288|561,245|601,084|32778|29555|7446|9307|4153|355|016
Ovitigamuwa SouthOvitigamuwa North|328328A|1,012945|7986|7670|7768|6887|4669|4566|7573|7853|6850|5659|5862|7058|6251|5131|3615|3218|2217|910|32|10
MalwathugodaGalkanda|326C326B|1,021609|8539|7348|9249|7340|7743|6729|7443|6135|6329|6845|6647|6435|5043|3421|3024|2516|1511|34|06|12
Kirinda Mangin PahalaKirinda Mangin Ihala North|326325|963800|8966|9365|10565|8956|7657|5958|6557|5351|6057|6050|5944|4649|4044|2427|1919|918|1310|25|12|10
Hettiyawala WestHettiyawala North|325F325G|745970|5384|6066|4982|6390|5069|4959|5663|4849|4169|5563|4560|4553|5053|2931|1636|1123|1313|103|23|01
BoraluketiyaKarathota|290A290|560832|6057|6265|5575|4262|2953|2933|4854|3756|4662|3753|2957|2048|1942|1542|1327|820|615|310|10|11
Naradda|290B|742|65|58|51|47|49|61|41|29|48|40|59|58|49|25|19|17|17|5|3|1
KumbalgodaHettiyawala East|290C325A|681793|5182|5474|6266|5462|3350|3446|3757|4151|3749|6152|4048|4238|3545|2527|2813|1615|1010|156|62|00
Hettiyawala SouthWavulanbokka|325E325H|801687|7350|7341|6265|5761|5939|5155|5550|4333|6643|5644|5449|4653|3832|2328|2214|1016|86|45|12|01
Puhulwella EastPuhulwella West|326A326D|742926|6473|7075|5986|5564|4662|4155|4864|5554|4849|4944|3966|4365|3950|3340|1625|2025|1016|59|14|10
Kirinda Mangin Ihala SouthKirinda Mangin Ihala Central|325B325D|8541,132|6794|4986|6490|7481|7280|6491|5782|3464|5574|5769|5065|6359|4466|3153|2125|2119|1720|107|37|10
Kirinda Mangin Ihala EastWathukolakanda East|325C327D|859924|7370|7766|5969|6565|5142|5979|6073|6757|5566|5055|5264|5360|4149|3436|1933|1921|1811|67|01|10
Walakanda SouthWalakanda West|327C327|628816|4157|4766|4580|6064|3357|4655|4751|4148|3352|2649|4252|4254|3938|3031|1830|2318|118|42|02|02
Walakanda EastWathukolakanda North|327B327A|608641|4547|6546|4434|4560|2752|3345|5429|5544|3137|3452|3447|3645|3233|3423|2215|1115|37|18|21|01
ThihagodaPahala Vitiyala West|343B|33,535937|2,55774|2,81587|2,47465|2,67868|2,16979|2,23373|2,22062|2,06248|2,17546|2,17355|2,15970|2,05762|1,74539|1,29232|87330|81322|61016|2885|901|523
Pahala Vitiyala CentralPahala Vitiyala East|343A343|951698|7547|9353|6743|6965|4850|4534|5528|7539|5864|5545|5444|5053|5641|4928|3714|3023|2211|613|72|01
PolathugodaBatuvita 1|344B344A|9591,042|7292|7484|6669|8375|7377|6580|8281|6268|6068|6057|6076|6262|3451|2830|2121|2718|1219|98|56|40
Batuvita 2Medauyangoda|344D334A|1,0001,360|8190|91131|8098|72110|5774|5889|5473|6290|6295|70107|6397|5478|5775|4738|2928|2532|2430|1217|17|11
Akkara PanahaYatiyana|334C334|7141,103|51112|6997|5258|6085|4862|5372|35100|4366|5969|4074|4080|3768|3752|3236|1927|2018|920|54|33|20
KottawattaKomangoda 2|334B344C|609646|4642|5443|4243|5050|3853|4141|4343|3846|5427|3751|3841|3549|2738|2229|1212|1318|912|86|12|10
Komangoda 1Thihagoda East|344335B|466993|3673|4392|2472|3253|4274|2761|3560|2665|3172|2181|3449|3469|3069|1634|831|1216|1013|46|01|12
ThihagodaKithalagama East 2|335347A|848384|6526|7535|4929|6528|6328|7325|7022|5216|4428|5128|5330|4721|4819|3617|2515|116|126|62|21|12
Kithalagama East 3Kithalagama Central|347B349B|6391,009|5594|5680|5084|5085|3172|3463|4567|4365|3474|3668|3751|4959|4440|1929|1521|2322|923|88|02|12
NarangalaWellethota|349A342|9751,299|78100|98118|77103|89105|6180|73113|7183|5377|8077|6169|5288|5481|3561|3040|2338|1229|1826|47|52|12
Kithalagama WestKithalagama East 1|349347|794458|7731|6243|5535|6236|6125|4543|5425|5625|4624|4725|6730|4534|4530|2521|188|1112|74|75|42|00
Naimbala 1Kapudoowa|336335A|579727|3447|5566|4457|4553|3333|2936|3228|4452|4058|4453|4658|3737|2628|2033|1822|1727|1021|013|35|20
Kapudoowa EastUduwa West|335C333B|600611|5455|5840|4248|5354|2332|3536|4140|4437|3329|3235|3841|4242|3141|3524|1512|1714|522|16|12|01
Uduwa EastGalbada|333333A|780611|4946|6453|5040|5932|4942|4434|5745|5129|4237|5121|4943|4550|5044|5128|1726|2118|269|412|01|11
Naimbala 2Bandattara 2|336B336C|1,103813|8455|10360|10974|10566|5063|6542|8547|6541|8553|7348|6366|5462|4645|3317|2825|2022|1817|144|13|23
Watagedara EastAttudawa|337C341|755681|6958|6147|6446|6258|4546|5042|5138|4937|4650|7040|3651|3339|3535|3030|1514|1517|1821|47|11|14
Attudawa WestWatagedara|341A337A|9181,000|5770|6271|6071|9185|5563|6571|5462|4963|6165|7251|5367|5871|4953|4144|2432|3225|2023|712|61|20
Nadugala 2Nadugala 1|337B337|8951,072|6277|57109|6997|7875|6558|7071|6072|4273|4471|6786|7361|6451|4360|3643|2221|2320|129|415|30|13
Bandattara 1Elambathalagoda|336A340B|928502|7137|6734|6731|7832|6529|5540|6337|5939|6223|7028|5428|5322|4432|3230|3229|2621|175|114|10|11
PalatuwaUnella|340340A|8971,018|5470|6081|6587|8678|6869|6166|6565|4864|5170|7171|5350|5569|5342|3454|1933|2327|1814|87|20|31
DematahettigodaWeligama|340C|1,16172,843|916,695|896,213|925,932|966,163|855,578|1135,386|905,458|614,695|834,427|524,339|754,171|703,716|603,296|392,427|171,591|281,311|13856|5400|2124|065
Midigama NorthPathegama|381A379|1,7521,232|173110|140128|132105|15575|15080|14095|152109|10587|9579|11170|8054|8455|8161|5349|4123|3225|1917|67|21|12
Moodugamuwa WestMoodugamuwa East|378B378|1,316912|12171|10381|9581|11160|9857|8864|10863|8861|8144|7861|7062|6358|6747|5937|3523|2825|88|157|02|00
KohunugamuwaWalana|389379B|1,3681,703|103146|115149|95142|109124|111130|88101|91141|87122|87106|95113|8295|8385|7379|5757|3143|2928|1928|118|24|02
WekadaDenuwala|381B381C|3,5221,228|391109|31893|28893|27596|304121|353118|30295|23663|21462|14470|19480|15373|12748|7838|5026|5016|2720|135|32|20
Midigama WestMidigama East|381380|1,5871,150|146116|12182|13677|14091|11987|10895|10782|10069|9764|8568|9565|6763|7256|6339|5931|3735|2422|87|11|20
Hetti WeediyaAluth Weediya|382B385A|2,3973,223|220378|245316|225351|222345|172279|149201|169228|163165|136193|141163|138165|110141|113110|7362|5151|3340|1619|109|72|45
PolwattaNidangala|388399A|2,166943|20181|17877|14577|19473|16779|16165|15270|13258|13656|14943|13858|10349|8649|8233|5226|5019|2416|115|42|17
Kotavila WestKotavila North|404B404A|1,3991,363|113105|11894|110108|9193|7590|90106|10899|9384|7989|9868|7897|9489|6559|6659|4945|3430|2322|1011|511|04
Kamburugamuwa North|408|2,849|250|262|265|236|160|163|211|221|209|216|174|132|116|68|47|49|37|21|8|4
Kotavila SouthHenwala East|404405C|1,8381,070|15494|140106|14472|15489|13173|11980|12385|12770|13765|12764|11064|9862|7763|5935|4115|5017|216|208|21|41
PolwathumodaraPelena North|388A387C|1,1521,320|106126|8896|8588|97119|97120|95124|81100|6770|6987|5880|5882|6369|5655|5445|3321|2520|1312|54|11|11
Pelena WestGalbokka East|387A385|1,5681,675|138172|141153|112187|159221|114145|119107|124104|9894|9777|8678|7090|7072|8466|6141|3423|2818|2318|67|32|10
Galbokka WestParanakade|385B382A|1,2251,380|141117|146104|138114|145100|9098|7988|67104|5593|7592|5995|5267|4890|4279|3949|1632|2227|619|39|23|00
Walliwala EastPitidoowa|386379A|2,4241,364|217124|220125|190115|229115|196107|19677|154100|14499|14986|14777|17479|12071|10853|5655|4729|3718|2717|711|43|23
GurubebilaWalliwala West|380A386A|1,7861,218|16695|12691|12294|13798|12196|13698|14686|11973|11175|8976|12378|10686|8169|7427|4730|2718|3219|148|81|10
Walliwala SouthMaha Weediya|386B382|1,2071,459|87134|96119|10199|94100|7191|90118|73127|9694|7286|8884|7280|7885|4890|5164|2640|3022|2019|96|10|41
Pelena SouthHenwala West|387B405D|1,190976|109115|10171|9272|9878|10384|11864|10578|8060|6253|7858|5550|5246|5750|3131|1524|1520|1215|76|00|01
GaranduwaMirissa Udumulla|408B405B|1,1891,244|116122|112120|10396|80100|7291|9988|90111|9175|7665|5875|5655|5666|6658|4141|3026|2325|1021|107|01|01
Mirissa UdupilaMirissa North|405A405|1,7001,366|126111|133125|133121|122120|134138|14089|128127|10697|9692|9981|12062|10559|9147|5438|4425|3718|2012|93|21|10
Mirissa South 2Kapparathota South|406A386C|1,6821,339|154119|135103|14080|160111|167125|138108|122102|11086|7586|10094|9080|7659|6850|5460|4129|2724|1113|88|41|21
Kapparathota NorthMirissa South 1|386D406|1,8941,223|175105|15887|16571|16298|15495|151103|128114|13782|11661|11660|10177|9363|7666|5558|4332|3217|1823|99|32|20
BandaramullaThal Aramba North|407A407B|1,6171,748|145169|128168|128154|159151|142106|10792|112123|113125|103127|105104|10397|6983|7656|4374|2845|2443|2021|77|53|00
ThudellaKamburugamuwa South|408D408C|8331,426|83108|58135|68106|61111|5394|56101|70103|4885|4892|52113|5784|5280|4476|3442|1130|1732|1120|88|14|12
Kamburugamuwa WestThal Aramba East|408A407C|820674|7659|7046|7346|5450|5957|6959|4954|5538|5443|5846|4343|4339|3635|3224|2013|1013|134|24|41|00
Thal Aramba SouthMatara Four Gravets|407|1,126115,805|988,561|929,329|989,351|1019,831|759,640|937,738|817,627|747,528|737,722|617,399|747,284|556,555|645,546|324,278|182,702|152,209|111,480|7699|3232|194
Deeyagaha EastKekanadura East|446A447B|1,0961,784|76169|84166|95172|109135|88109|80115|62107|60133|69138|68119|70114|6783|6066|3362|2334|2530|1822|73|13|14
KokawalaParawahera East|443B443C|7461,182|58100|69116|4599|5289|4979|5967|4765|4285|5288|4566|4268|5966|3261|4154|2826|1621|522|34|04|22
Parawahera NorthKekanadura North|443447C|1,287683|10149|11546|9254|8456|8057|6546|6936|8941|9947|9544|7350|7943|7232|6727|4213|2418|2516|125|33|10
Kekanadura CentralDeeyagaha West|447A446|1,9151,115|14167|15564|16386|14974|12380|12984|15271|12957|10363|9580|13385|11968|9968|8955|4142|5030|2318|1615|45|23
Navimana NorthPahalagoda|428428B|523923|4576|5289|5167|4273|4363|3663|3168|3670|3972|3445|2933|2145|2041|1249|1732|821|411|03|21|11
Navimana SouthThudawa East|427420C|1,8171,246|134110|156120|115114|15193|11996|11095|11189|11988|11778|13186|11780|9657|9454|8631|6324|4517|2911|182|50|11
Thudawa NorthThudawa South|420B420|7751,494|54102|64147|65137|76134|5199|50107|52117|48116|51108|5484|6086|4572|2966|3242|2130|1319|619|38|01|10
Sudarshi PlaceHittatiya East|420D420A|1,6632,225|128171|127165|137165|146201|113125|147130|131162|118146|108162|118138|88158|104157|82114|4099|2644|3141|1528|38|05|16
Hittatiya MedaGodagama|414B419|3,7192,174|230133|302163|305176|398190|231129|223119|221136|248142|264139|257178|265144|205128|168109|15290|8182|8441|4946|2322|115|22
Eduwa ‐ MadurudoowaKanattagoda North|419A423B|1,0301,530|79129|78146|81113|80123|62115|6798|7397|72111|72117|73108|6877|6169|4572|4155|2740|2232|1818|84|15|21
WewahamandoowaHittatiya West|423A414A|2,6341,321|196103|205100|19098|213156|21490|21182|19879|16874|16488|17081|161103|16478|13363|9440|5427|5325|2320|1513|51|30
Isadeen TownWeliweriya West|414C415A|2,5931,350|17070|20185|202152|248149|17084|15662|13377|17268|180100|18895|177106|15684|12670|10039|7034|6239|4019|2912|95|40
